tahun,pendapatan,beban_operasional,penyusutan,skenario
2020,1200000000,800000000,100000000,baseline
2021,1350000000,850000000,100000000,baseline
2022,1500000000,900000000,100000000,baseline
2023,1600000000,950000000,100000000,baseline
2024,1700000000,1000000000,100000000,baseline
2025,1100000000,750000000,100000000,baseline
2020,1200000000,780000000,100000000,optimis
2021,1300000000,800000000,100000000,optimis
2022,1400000000,820000000,100000000,optimis
2023,1500000000,850000000,100000000,optimis
2024,1600000000,870000000,100000000,optimis
2025,1700000000,900000000,100000000,optimis
